timestamp,value
2025-12-18T15:04:03Z,95.8
2025-12-18T15:05:03Z,50.0
2025-12-18T15:06:03Z,95.6
2025-12-18T15:07:03Z,95.5
2025-12-18T15:08:03Z,95.5
2025-12-18T15:09:03Z,95.7
2025-12-18T15:10:03Z,50.0
2025-12-18T15:11:03Z,95.6
2025-12-18T15:12:03Z,50.0
2025-12-18T15:13:03Z,95.7
2025-12-18T15:14:03Z,95.7
2025-12-18T15:15:03Z,95.6
2025-12-18T15:16:03Z,95.5
2025-12-18T15:17:03Z,95.6
2025-12-18T15:18:03Z,95.6
2025-12-18T15:19:03Z,95.5
2025-12-18T15:20:03Z,95.4
2025-12-18T15:21:03Z,95.4
2025-12-18T15:22:03Z,95.4
2025-12-18T15:23:03Z,95.5
2025-12-18T15:24:03Z,95.5
2025-12-18T15:25:03Z,95.4
2025-12-18T15:26:03Z,50.0
2025-12-18T15:27:03Z,95.2
2025-12-18T15:28:03Z,94.8
2025-12-18T15:29:03Z,50.0
2025-12-18T15:30:03Z,94.6
2025-12-18T15:31:03Z,94.6
2025-12-18T15:32:03Z,94.5
2025-12-18T15:33:03Z,94.5
2025-12-18T15:34:03Z,50.0
2025-12-18T15:35:03Z,94.4
2025-12-18T15:36:03Z,94.3
2025-12-18T15:37:03Z,50.0
2025-12-18T15:38:03Z,94.3
2025-12-18T15:39:03Z,50.0
2025-12-18T15:40:03Z,94.3
2025-12-18T15:41:03Z,94.4
2025-12-18T15:42:03Z,94.5
2025-12-18T15:43:03Z,95.1
2025-12-18T15:44:03Z,95.4
2025-12-18T15:45:03Z,50.0
2025-12-18T15:46:03Z,95.6
2025-12-18T15:47:03Z,95.5
2025-12-18T15:48:03Z,50.0
2025-12-18T15:49:03Z,95.3
2025-12-18T15:50:03Z,95.5
2025-12-18T15:51:03Z,95.6
2025-12-18T15:52:03Z,95.6
2025-12-18T15:53:03Z,95.5
2025-12-18T15:54:03Z,95.7
2025-12-18T15:55:03Z,95.8
2025-12-18T15:56:03Z,95.9
2025-12-18T15:57:03Z,96.0
2025-12-18T15:58:03Z,96.0
2025-12-18T15:59:03Z,96.1
2025-12-18T16:00:03Z,50.0
2025-12-18T16:01:03Z,96.3
2025-12-18T16:02:03Z,96.5
2025-12-18T16:03:03Z,96.7
2025-12-18T16:04:03Z,96.8
2025-12-18T16:05:03Z,96.9
2025-12-18T16:06:03Z,97.0
2025-12-18T16:07:03Z,97.0
2025-12-18T16:08:03Z,97.0
2025-12-18T16:09:03Z,97.0
2025-12-18T16:10:03Z,97.0
2025-12-18T16:11:03Z,97.1
2025-12-18T16:12:03Z,97.1
2025-12-18T16:13:03Z,97.1
2025-12-18T16:14:03Z,97.1
2025-12-18T16:15:03Z,97.2
2025-12-18T16:16:03Z,97.2
2025-12-18T16:17:03Z,97.2
2025-12-18T16:18:03Z,97.2
2025-12-18T16:19:03Z,97.2
2025-12-18T16:20:03Z,97.2
2025-12-18T16:21:03Z,97.2
2025-12-18T16:22:03Z,97.1
2025-12-18T16:23:03Z,97.1
2025-12-18T16:24:03Z,97.2
2025-12-18T16:25:03Z,97.2
2025-12-18T16:26:03Z,50.0
2025-12-18T16:27:03Z,50.0
2025-12-18T16:28:03Z,96.8
2025-12-18T16:29:03Z,96.2
2025-12-18T16:30:03Z,95.7
2025-12-18T16:31:03Z,95.4
2025-12-18T16:32:03Z,95.4
2025-12-18T16:33:03Z,95.6
2025-12-18T16:34:03Z,95.6
2025-12-18T16:35:03Z,95.5
2025-12-18T16:36:03Z,50.0
2025-12-18T16:37:03Z,95.5
2025-12-18T16:38:03Z,95.5
2025-12-18T16:39:03Z,95.6
2025-12-18T16:40:03Z,95.7
2025-12-18T16:41:03Z,50.0
2025-12-18T16:42:03Z,95.7
2025-12-18T16:43:03Z,95.8
2025-12-18T16:44:03Z,95.7
2025-12-18T16:45:03Z,95.6
2025-12-18T16:46:03Z,50.0
2025-12-18T16:47:03Z,95.8
2025-12-18T16:48:03Z,95.9
2025-12-18T16:49:03Z,50.0
2025-12-18T16:50:03Z,96.0
2025-12-18T16:51:03Z,50.0
2025-12-18T16:52:03Z,50.0
2025-12-18T16:53:03Z,95.7
2025-12-18T16:54:03Z,50.0
2025-12-18T16:55:03Z,94.3
2025-12-18T16:56:03Z,50.0
2025-12-18T16:57:03Z,94.2
2025-12-18T16:58:03Z,94.1
2025-12-18T16:59:03Z,94.0
2025-12-18T17:00:03Z,93.8
2025-12-18T17:01:03Z,50.0
2025-12-18T17:02:03Z,94.9
2025-12-18T17:03:03Z,95.7
2025-12-18T17:04:03Z,96.2
2025-12-18T17:05:03Z,96.6
2025-12-18T17:06:03Z,96.9
2025-12-18T17:07:03Z,97.2
2025-12-18T17:08:03Z,97.2
2025-12-18T17:09:03Z,97.5
2025-12-18T17:10:03Z,97.6
2025-12-18T17:11:03Z,97.6
2025-12-18T17:12:03Z,50.0
2025-12-18T17:13:03Z,97.2
2025-12-18T17:14:03Z,97.1
2025-12-18T17:15:03Z,96.8
2025-12-18T17:16:03Z,95.9
2025-12-18T17:17:03Z,95.3
2025-12-18T17:18:03Z,95.5
2025-12-18T17:19:03Z,95.5
2025-12-18T17:20:03Z,95.9
2025-12-18T17:21:03Z,96.0
2025-12-18T17:22:03Z,96.2
2025-12-18T17:23:03Z,50.0
2025-12-18T17:24:03Z,50.0
2025-12-18T17:25:03Z,95.0
2025-12-18T17:26:03Z,50.0
2025-12-18T17:27:03Z,94.8
2025-12-18T17:28:03Z,95.0
2025-12-18T17:29:03Z,95.1
2025-12-18T17:30:03Z,50.0
2025-12-18T17:31:03Z,95.5
2025-12-18T17:32:03Z,95.8
2025-12-18T17:33:03Z,96.2
2025-12-18T17:34:03Z,96.2
2025-12-18T17:35:03Z,96.3
2025-12-18T17:36:03Z,96.4
2025-12-18T17:37:03Z,96.5
2025-12-18T17:38:03Z,96.6
2025-12-18T17:39:03Z,96.7
2025-12-18T17:40:03Z,96.6
2025-12-18T17:41:03Z,96.6
2025-12-18T17:42:03Z,96.7
2025-12-18T17:43:03Z,96.8
2025-12-18T17:44:03Z,96.6
2025-12-18T17:45:03Z,96.6
2025-12-18T17:46:03Z,96.8
2025-12-18T17:47:03Z,96.8
2025-12-18T17:48:03Z,96.8
2025-12-18T17:49:03Z,96.8
2025-12-18T17:50:03Z,96.7
2025-12-18T17:51:03Z,96.5
2025-12-18T17:52:03Z,96.5
2025-12-18T17:53:03Z,50.0
2025-12-18T17:54:03Z,96.4
2025-12-18T17:55:03Z,50.0
2025-12-18T17:56:03Z,50.0
2025-12-18T17:57:03Z,95.7
2025-12-18T17:58:03Z,95.0
2025-12-18T17:59:03Z,94.7
2025-12-18T18:00:03Z,95.0
2025-12-18T18:01:03Z,95.4
2025-12-18T18:02:03Z,95.6
2025-12-18T18:03:03Z,95.6
2025-12-18T18:04:03Z,95.7
2025-12-18T18:05:03Z,95.8
2025-12-18T18:06:03Z,95.9
2025-12-18T18:07:03Z,95.8
2025-12-18T18:08:03Z,50.0
2025-12-18T18:09:03Z,95.7
2025-12-18T18:10:03Z,50.0
2025-12-18T18:11:03Z,95.9
2025-12-18T18:12:03Z,96.3
2025-12-18T18:13:03Z,96.4
2025-12-18T18:14:03Z,96.4
2025-12-18T18:15:03Z,50.0
2025-12-18T18:16:03Z,96.5
2025-12-18T18:17:03Z,96.4
2025-12-18T18:18:03Z,96.3
2025-12-18T18:19:03Z,50.0
2025-12-18T18:20:03Z,95.9
2025-12-18T18:21:03Z,50.0
2025-12-18T18:22:03Z,96.0
2025-12-18T18:23:03Z,96.1
2025-12-18T18:24:03Z,96.1
2025-12-18T18:25:03Z,96.2
2025-12-18T18:26:03Z,96.2
2025-12-18T18:27:03Z,96.2
2025-12-18T18:28:03Z,95.3
2025-12-18T18:29:03Z,50.0
2025-12-18T18:30:03Z,50.0
2025-12-18T18:31:03Z,95.8
2025-12-18T18:32:03Z,96.2
2025-12-18T18:33:03Z,95.9
2025-12-18T18:34:03Z,95.5
2025-12-18T18:35:03Z,95.4
2025-12-18T18:36:03Z,50.0
2025-12-18T18:37:03Z,95.3
2025-12-18T18:38:03Z,95.3
2025-12-18T18:39:03Z,95.2
2025-12-18T18:40:03Z,95.2
2025-12-18T18:41:03Z,50.0
2025-12-18T18:42:03Z,50.0
2025-12-18T18:43:03Z,50.0
2025-12-18T18:44:03Z,95.4
2025-12-18T18:45:03Z,95.9
2025-12-18T18:46:03Z,96.0
2025-12-18T18:47:03Z,96.2
2025-12-18T18:48:03Z,96.4
2025-12-18T18:49:03Z,96.4
2025-12-18T18:50:03Z,96.5
2025-12-18T18:51:03Z,96.6
2025-12-18T18:52:03Z,96.7
2025-12-18T18:53:03Z,96.8
2025-12-18T18:54:03Z,96.8
2025-12-18T18:55:03Z,50.0
2025-12-18T18:56:03Z,96.4
2025-12-18T18:57:03Z,50.0
2025-12-18T18:58:03Z,94.4
2025-12-18T18:59:03Z,50.0
2025-12-18T19:00:03Z,50.0
2025-12-18T19:01:03Z,50.0
2025-12-18T19:02:03Z,94.3
2025-12-18T19:03:03Z,50.0
2025-12-18T19:04:03Z,94.2
2025-12-18T19:05:03Z,50.0
2025-12-18T19:06:03Z,50.0
2025-12-18T19:07:03Z,50.0
2025-12-18T19:08:03Z,94.8
2025-12-18T19:09:03Z,95.3
2025-12-18T19:10:03Z,50.0
2025-12-18T19:11:03Z,50.0
2025-12-18T19:12:03Z,50.0
2025-12-18T19:13:03Z,50.0
2025-12-18T19:14:03Z,95.6
2025-12-18T19:15:03Z,50.0
2025-12-18T19:16:03Z,95.7
2025-12-18T19:17:03Z,96.2
2025-12-18T19:18:03Z,50.0
2025-12-18T19:19:03Z,50.0
2025-12-18T19:20:03Z,50.0
2025-12-18T19:21:03Z,50.0
2025-12-18T19:22:03Z,95.4
2025-12-18T19:23:03Z,50.0
2025-12-18T19:24:03Z,95.4
