exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events,activity_type_probabilities,autodetected_confirmed,autodetected_start_timestamp,autodetected_end_timestamp,autodetected_utc_offset,autodetected_activity_name,autodetected_sensor_based_activity_name,deletion_reason,activity_label,suggested_start_timestamp,suggested_end_timestamp,reconciliation_status
5752913028009366936,2025-10-25 06:43:47+0000,2025-10-25 06:59:09+0000,-07:00,2025-10-25 07:06:51+0000,2025-10-25 07:06:51+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5758572141932530288,2026-01-17 02:09:16+0000,2026-01-17 02:16:05+0000,-08:00,2026-01-17 02:21:09+0000,2026-01-17 02:21:09+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5762222257356529296,2025-08-15 03:38:22+0000,2025-08-15 03:41:05+0000,-07:00,2025-08-15 03:46:30+0000,2025-08-15 03:46:30+0000,Outdoor Run,TRACKER,0,UNSPECIFIED,,IMPERIAL,24,218,176250,0,141,168,0,139904,1357,1280,724,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
5764193268687151464,2025-10-23 16:41:07+0000,2025-10-23 16:47:06+0000,-07:00,2025-10-23 16:49:27+0000,2025-10-23 16:49:27+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5777540261704032544,2025-08-18 23:04:29+0000,2025-08-19 00:33:55+0000,-07:00,2025-08-18 23:13:14+0000,2025-08-19 00:34:07+0000,Weightlifting,TRACKER,0,UNSPECIFIED,,IMPERIAL,379,1557,803219,0,102,150,0,19072,398,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
5777966080939382264,2025-11-03 00:26:13+0000,2025-11-03 00:34:46+0000,-08:00,2025-11-03 00:48:08+0000,2025-11-03 00:48:08+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
578546851143173656,2025-08-27 00:56:44+0000,2025-08-27 01:07:50+0000,-07:00,2025-08-27 01:23:55+0000,2025-08-27 01:23:55+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5786736853029125824,2025-08-15 02:24:12+0000,2025-08-15 03:36:38+0000,-07:00,2025-08-15 02:35:19+0000,2025-08-15 03:36:47+0000,Sport,TRACKER,0,UNSPECIFIED,,IMPERIAL,669,6179,4886789,0,152,197,0,144000,1084,0,0,0,0,UNSPECIFIED,0,,,,,,,,,,,,,,UNSPECIFIED,,,,
5797599237065691248,2025-10-23 02:55:05+0000,2025-10-23 03:00:12+0000,-07:00,2025-10-23 04:10:05+0000,2025-10-23 04:10:05+0000,Outdoor Bike,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
5805038694597926808,2025-11-28 23:31:45+0000,2025-11-29 00:14:25+0000,-08:00,2025-11-29 17:19:24+0000,2025-11-29 17:19:24+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED,,,,
