timestamp,oxygen saturation percentage,data source
2025-08-13T13:44:03Z,96.9,Charge 6
2025-08-13T13:45:03Z,96.9,Charge 6
2025-08-13T13:46:03Z,97.0,Charge 6
2025-08-13T13:47:03Z,97.0,Charge 6
2025-08-13T13:48:03Z,96.9,Charge 6
2025-08-13T13:49:03Z,96.9,Charge 6
2025-08-13T13:50:03Z,96.9,Charge 6
2025-08-13T13:51:03Z,96.9,Charge 6
2025-08-13T13:52:03Z,96.9,Charge 6
2025-08-13T13:53:03Z,96.9,Charge 6
2025-08-13T13:54:03Z,96.9,Charge 6
2025-08-13T13:55:03Z,96.9,Charge 6
2025-08-13T13:56:03Z,96.8,Charge 6
2025-08-13T13:58:03Z,96.7,Charge 6
2025-08-13T13:59:03Z,96.6,Charge 6
2025-08-13T14:00:03Z,96.7,Charge 6
2025-08-13T14:02:03Z,96.7,Charge 6
2025-08-13T14:03:03Z,96.7,Charge 6
2025-08-13T14:04:03Z,96.6,Charge 6
2025-08-13T14:05:03Z,96.7,Charge 6
2025-08-13T14:07:03Z,96.8,Charge 6
2025-08-13T14:08:03Z,96.9,Charge 6
2025-08-13T14:09:03Z,96.9,Charge 6
2025-08-13T14:10:03Z,97.0,Charge 6
2025-08-13T14:11:03Z,97.2,Charge 6
2025-08-13T14:12:03Z,97.0,Charge 6
2025-08-13T14:15:03Z,97.0,Charge 6
2025-08-13T14:16:03Z,96.9,Charge 6
2025-08-13T14:17:03Z,96.9,Charge 6
2025-08-13T14:18:03Z,96.7,Charge 6
2025-08-13T14:20:03Z,97.1,Charge 6
2025-08-13T14:21:03Z,97.6,Charge 6
2025-08-13T14:22:03Z,97.8,Charge 6
2025-08-13T14:23:03Z,98.0,Charge 6
2025-08-13T14:24:03Z,98.2,Charge 6
2025-08-13T14:25:03Z,98.4,Charge 6
2025-08-13T14:28:03Z,97.7,Charge 6
2025-08-13T14:30:03Z,97.6,Charge 6
2025-08-13T14:31:03Z,97.9,Charge 6
2025-08-13T14:35:03Z,97.5,Charge 6
2025-08-13T14:36:03Z,97.2,Charge 6
2025-08-13T14:37:03Z,97.1,Charge 6
2025-08-13T14:38:03Z,96.9,Charge 6
2025-08-13T14:40:03Z,96.8,Charge 6
2025-08-13T14:41:03Z,96.7,Charge 6
2025-08-13T14:43:03Z,96.6,Charge 6
2025-08-13T14:44:03Z,94.7,Charge 6
2025-08-13T14:55:03Z,94.9,Charge 6
2025-08-13T14:56:03Z,95.4,Charge 6
2025-08-13T14:57:03Z,95.7,Charge 6
2025-08-13T14:58:03Z,96.0,Charge 6
2025-08-13T14:59:03Z,96.1,Charge 6
2025-08-13T15:01:03Z,96.2,Charge 6
2025-08-13T15:02:03Z,96.1,Charge 6
2025-08-13T15:04:03Z,96.3,Charge 6
2025-08-13T15:05:03Z,96.2,Charge 6
2025-08-13T15:06:03Z,96.1,Charge 6
2025-08-13T15:08:03Z,96.2,Charge 6
2025-08-13T15:09:03Z,96.5,Charge 6
2025-08-13T15:10:03Z,96.6,Charge 6
2025-08-13T15:14:03Z,96.7,Charge 6
2025-08-13T15:15:03Z,96.7,Charge 6
2025-08-13T15:18:03Z,96.8,Charge 6
2025-08-14T07:52:34Z,96.1,Charge 6
2025-08-14T07:53:34Z,96.1,Charge 6
2025-08-14T07:54:34Z,96.2,Charge 6
2025-08-14T07:55:34Z,96.1,Charge 6
2025-08-14T07:56:34Z,96.2,Charge 6
2025-08-14T07:57:34Z,96.1,Charge 6
2025-08-14T07:58:34Z,96.1,Charge 6
2025-08-14T07:59:34Z,96.0,Charge 6
2025-08-14T08:00:34Z,96.0,Charge 6
2025-08-14T08:01:34Z,95.9,Charge 6
2025-08-14T08:02:34Z,96.0,Charge 6
2025-08-14T08:03:34Z,95.9,Charge 6
2025-08-14T08:04:34Z,95.9,Charge 6
2025-08-14T08:05:34Z,95.9,Charge 6
2025-08-14T08:06:34Z,95.9,Charge 6
2025-08-14T08:07:34Z,95.9,Charge 6
2025-08-14T08:08:34Z,95.9,Charge 6
2025-08-14T08:09:34Z,95.9,Charge 6
2025-08-14T08:10:34Z,95.9,Charge 6
2025-08-14T08:11:34Z,95.9,Charge 6
2025-08-14T08:12:34Z,95.9,Charge 6
2025-08-14T08:13:34Z,95.8,Charge 6
2025-08-14T08:14:34Z,95.8,Charge 6
2025-08-14T08:15:34Z,95.8,Charge 6
2025-08-14T08:16:34Z,95.8,Charge 6
2025-08-14T08:17:34Z,95.9,Charge 6
2025-08-14T08:18:34Z,95.9,Charge 6
2025-08-14T08:19:34Z,95.9,Charge 6
2025-08-14T08:20:34Z,95.8,Charge 6
2025-08-14T08:21:34Z,95.8,Charge 6
2025-08-14T08:22:34Z,95.8,Charge 6
2025-08-14T08:23:34Z,95.8,Charge 6
2025-08-14T08:24:34Z,95.8,Charge 6
2025-08-14T08:25:34Z,95.8,Charge 6
2025-08-14T08:26:34Z,95.7,Charge 6
2025-08-14T08:27:34Z,95.5,Charge 6
2025-08-14T08:28:34Z,95.6,Charge 6
2025-08-14T08:29:34Z,96.0,Charge 6
2025-08-14T08:31:34Z,95.7,Charge 6
2025-08-14T08:32:34Z,95.7,Charge 6
2025-08-14T08:33:34Z,95.7,Charge 6
2025-08-14T08:34:34Z,95.8,Charge 6
2025-08-14T08:35:34Z,96.0,Charge 6
2025-08-14T08:36:34Z,96.2,Charge 6
2025-08-14T08:37:34Z,96.3,Charge 6
2025-08-14T08:38:34Z,96.4,Charge 6
2025-08-14T08:39:34Z,96.4,Charge 6
2025-08-14T08:40:34Z,96.5,Charge 6
2025-08-14T08:43:34Z,96.5,Charge 6
2025-08-14T08:44:34Z,96.5,Charge 6
2025-08-14T08:45:34Z,96.4,Charge 6
2025-08-14T08:46:34Z,96.3,Charge 6
2025-08-14T08:47:34Z,96.2,Charge 6
2025-08-14T08:48:34Z,96.1,Charge 6
2025-08-14T08:49:34Z,96.1,Charge 6
2025-08-14T08:50:34Z,96.1,Charge 6
2025-08-14T08:51:34Z,96.0,Charge 6
2025-08-14T08:52:34Z,95.9,Charge 6
2025-08-14T08:53:34Z,95.9,Charge 6
2025-08-14T08:54:34Z,95.9,Charge 6
2025-08-14T08:55:34Z,95.8,Charge 6
2025-08-14T08:56:34Z,95.8,Charge 6
2025-08-14T08:57:34Z,95.7,Charge 6
2025-08-14T08:59:34Z,96.0,Charge 6
2025-08-14T09:00:34Z,96.4,Charge 6
2025-08-14T09:01:34Z,96.7,Charge 6
2025-08-14T09:02:34Z,96.9,Charge 6
2025-08-14T09:03:34Z,96.9,Charge 6
2025-08-14T09:04:34Z,97.0,Charge 6
2025-08-14T09:06:34Z,97.1,Charge 6
2025-08-14T09:07:34Z,97.2,Charge 6
2025-08-14T09:08:34Z,97.1,Charge 6
2025-08-14T09:09:34Z,97.1,Charge 6
2025-08-14T09:10:34Z,97.0,Charge 6
2025-08-14T09:11:34Z,97.0,Charge 6
2025-08-14T09:12:34Z,97.0,Charge 6
2025-08-14T09:13:34Z,97.0,Charge 6
2025-08-14T09:14:34Z,97.0,Charge 6
2025-08-14T09:15:34Z,96.9,Charge 6
2025-08-14T09:16:34Z,97.0,Charge 6
2025-08-14T09:17:34Z,97.0,Charge 6
2025-08-14T09:18:34Z,97.0,Charge 6
2025-08-14T09:19:34Z,97.0,Charge 6
2025-08-14T09:22:34Z,96.8,Charge 6
2025-08-14T09:23:34Z,96.5,Charge 6
2025-08-14T09:24:34Z,96.4,Charge 6
2025-08-14T09:26:34Z,96.4,Charge 6
2025-08-14T09:27:34Z,96.4,Charge 6
2025-08-14T09:28:34Z,96.4,Charge 6
2025-08-14T09:30:34Z,96.3,Charge 6
2025-08-14T09:31:34Z,96.2,Charge 6
2025-08-14T09:32:34Z,96.1,Charge 6
2025-08-14T09:33:34Z,96.1,Charge 6
2025-08-14T09:34:34Z,96.2,Charge 6
2025-08-14T09:35:34Z,96.3,Charge 6
2025-08-14T09:36:34Z,96.3,Charge 6
