timestamp,level,data source
2025-08-13T18:02:00Z,SEDENTARY,Fitbit App
2025-08-13T18:03:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:04:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:05:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:06:00Z,SEDENTARY,Fitbit App
2025-08-13T18:07:00Z,SEDENTARY,Fitbit App
2025-08-13T18:08:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:09:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:10:00Z,SEDENTARY,Fitbit App
2025-08-13T18:11:00Z,SEDENTARY,Fitbit App
2025-08-13T18:12:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:13:00Z,SEDENTARY,Fitbit App
2025-08-13T18:14:00Z,SEDENTARY,Fitbit App
2025-08-13T18:15:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:16:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:17:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:19:00Z,SEDENTARY,Fitbit App
2025-08-13T18:20:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:21:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:22:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:23:00Z,SEDENTARY,Fitbit App
2025-08-13T18:24:00Z,SEDENTARY,Fitbit App
2025-08-13T18:25:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:26:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:27:00Z,SEDENTARY,Fitbit App
2025-08-13T18:28:00Z,SEDENTARY,Fitbit App
2025-08-13T18:29:00Z,SEDENTARY,Fitbit App
2025-08-13T18:30:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:31:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:32:00Z,SEDENTARY,Fitbit App
2025-08-13T18:33:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:34:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:35:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:36:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:37:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:38:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:39:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:40:00Z,SEDENTARY,Fitbit App
2025-08-13T18:41:00Z,SEDENTARY,Fitbit App
2025-08-13T18:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:44:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:45:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T18:46:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T18:47:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:48:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:49:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T18:50:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T18:51:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T18:52:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T18:53:00Z,VERY_ACTIVE,Fitbit App
2025-08-13T18:54:00Z,MODERATELY_ACTIVE,Fitbit App
2025-08-13T18:55:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:56:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:57:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:58:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T18:59:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:00:00Z,SEDENTARY,Fitbit App
2025-08-13T19:01:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:02:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:03:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:04:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-08-13T19:05:00Z,SEDENTARY,Fitbit App
2025-08-13T19:06:00Z,SEDENTARY,Fitbit App
