timestamp,lap time,stroke count,stroke type,data source
2026-01-09T06:28:11Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T06:29:14Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T19:03:56Z,00:00:08.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T19:07:52Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-09T19:19:45Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:05:49Z,00:00:23.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:10:09Z,00:00:25.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:13:58Z,00:00:27.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:17:21Z,00:00:18.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:19:53Z,00:00:25.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:23:30Z,00:00:26.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:27:19Z,00:00:39.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:36:04Z,00:00:41.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T01:42:33Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T02:09:42Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T05:04:13Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T06:23:54Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-10T07:02:57Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:16:24Z,00:00:12.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:44:53Z,00:00:10.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:45:21Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:45:36Z,00:00:11.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:46:05Z,00:00:27.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:46:40Z,00:00:08.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:48:34Z,00:00:10.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:49:25Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T08:49:46Z,00:00:46.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T19:17:23Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2026-01-11T19:36:49Z,00:00:27.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
