timestamp,heart rate zone type,kcal,data source
2025-08-13T07:30:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:31:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:32:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:33:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:34:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:35:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:36:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:37:00Z,LIGHT,1.2396449999999999,Fitbit App
2025-08-13T07:38:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:39:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:40:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:41:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:42:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:43:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:44:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:45:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:46:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:47:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:48:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:49:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:50:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:51:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:52:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:53:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:54:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:55:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:56:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:57:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:58:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T07:59:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:00:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:01:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:02:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:03:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:04:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:05:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:06:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:07:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:08:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:09:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:10:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:11:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:12:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:13:00Z,LIGHT,1.12695,Fitbit App
2025-08-13T08:14:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:15:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:16:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:17:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:18:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:19:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:20:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:21:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:22:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:23:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:24:00Z,LIGHT,1.239656,Fitbit App
2025-08-13T08:25:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:26:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:27:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:28:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:29:00Z,LIGHT,2.704704,Fitbit App
2025-08-13T08:30:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:31:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:32:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:33:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:34:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:35:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:36:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:37:00Z,LIGHT,1.12696,Fitbit App
2025-08-13T08:38:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:39:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:40:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:41:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:42:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:43:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:44:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:45:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:46:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:47:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:48:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:49:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:50:00Z,LIGHT,1.12697,Fitbit App
2025-08-13T08:51:00Z,LIGHT,1.12697,Fitbit App
