timestamp,steps,data source
2025-11-01T16:46:00Z,89,Charge 6
2025-11-01T16:47:00Z,59,Charge 6
2025-11-01T16:48:00Z,34,Charge 6
2025-11-01T16:49:00Z,51,Charge 6
2025-11-01T16:50:00Z,68,Charge 6
2025-11-01T16:51:00Z,60,Charge 6
2025-11-01T16:52:00Z,90,Charge 6
2025-11-01T16:53:00Z,86,Charge 6
2025-11-01T16:54:00Z,37,Charge 6
2025-11-01T16:55:00Z,76,Charge 6
2025-11-01T16:56:00Z,90,Charge 6
2025-11-01T16:57:00Z,100,Charge 6
2025-11-01T16:58:00Z,72,Charge 6
2025-11-01T16:59:00Z,82,Charge 6
2025-11-01T17:00:00Z,97,Charge 6
2025-11-01T17:01:00Z,80,Charge 6
2025-11-01T17:02:00Z,89,Charge 6
2025-11-01T17:03:00Z,19,Charge 6
2025-11-01T17:04:00Z,45,Charge 6
2025-11-01T17:05:00Z,64,Charge 6
2025-11-01T17:06:00Z,68,Charge 6
2025-11-01T17:07:00Z,38,Charge 6
2025-11-01T17:09:00Z,29,Charge 6
2025-11-01T17:10:00Z,23,Charge 6
2025-11-01T17:11:00Z,9,Charge 6
2025-11-01T17:13:00Z,47,Charge 6
2025-11-01T17:14:00Z,93,Charge 6
2025-11-01T17:15:00Z,42,Charge 6
2025-11-01T17:16:00Z,97,Charge 6
2025-11-01T17:17:00Z,29,Charge 6
2025-11-01T17:18:00Z,77,Charge 6
2025-11-01T17:19:00Z,90,Charge 6
2025-11-01T17:20:00Z,62,Charge 6
2025-11-01T17:21:00Z,57,Charge 6
2025-11-01T17:22:00Z,63,Charge 6
2025-11-01T17:23:00Z,64,Charge 6
2025-11-01T17:24:00Z,44,Charge 6
2025-11-01T17:25:00Z,95,Charge 6
2025-11-01T17:26:00Z,100,Charge 6
2025-11-01T17:27:00Z,51,Charge 6
2025-11-01T17:28:00Z,78,Charge 6
2025-11-01T17:29:00Z,81,Charge 6
2025-11-01T17:30:00Z,77,Charge 6
2025-11-01T17:31:00Z,70,Charge 6
2025-11-01T17:32:00Z,88,Charge 6
2025-11-01T17:33:00Z,86,Charge 6
2025-11-01T17:34:00Z,73,Charge 6
2025-11-01T17:35:00Z,51,Charge 6
2025-11-01T17:36:00Z,73,Charge 6
2025-11-01T17:37:00Z,61,Charge 6
2025-11-01T17:38:00Z,67,Charge 6
2025-11-01T17:39:00Z,54,Charge 6
2025-11-01T17:40:00Z,50,Charge 6
2025-11-01T17:41:00Z,62,Charge 6
2025-11-01T17:42:00Z,40,Charge 6
2025-11-01T17:43:00Z,99,Charge 6
2025-11-01T17:44:00Z,42,Charge 6
2025-11-01T17:45:00Z,67,Charge 6
2025-11-01T17:46:00Z,117,Charge 6
2025-11-01T17:47:00Z,41,Charge 6
2025-11-01T17:51:00Z,76,Charge 6
2025-11-01T17:52:00Z,69,Charge 6
2025-11-01T17:53:00Z,81,Charge 6
2025-11-01T17:54:00Z,72,Charge 6
2025-11-01T17:55:00Z,95,Charge 6
2025-11-01T17:56:00Z,74,Charge 6
2025-11-01T17:57:00Z,73,Charge 6
2025-11-01T17:58:00Z,70,Charge 6
2025-11-01T17:59:00Z,46,Charge 6
2025-11-01T18:00:00Z,69,Charge 6
2025-11-01T18:01:00Z,63,Charge 6
2025-11-01T18:02:00Z,76,Charge 6
2025-11-01T18:03:00Z,94,Charge 6
2025-11-01T18:04:00Z,73,Charge 6
2025-11-01T18:05:00Z,94,Charge 6
2025-11-01T18:06:00Z,89,Charge 6
2025-11-01T18:07:00Z,64,Charge 6
2025-11-01T18:08:00Z,87,Charge 6
2025-11-01T18:09:00Z,92,Charge 6
2025-11-01T18:10:00Z,78,Charge 6
2025-11-01T18:11:00Z,81,Charge 6
2025-11-01T18:12:00Z,72,Charge 6
2025-11-01T18:13:00Z,41,Charge 6
2025-11-01T18:14:00Z,56,Charge 6
2025-11-01T18:15:00Z,63,Charge 6
2025-11-01T18:16:00Z,65,Charge 6
2025-11-01T18:17:00Z,69,Charge 6
2025-11-01T18:18:00Z,35,Charge 6
