timestamp,beats per minute,data source
2025-10-15T00:07:02Z,63.0,Charge 6
2025-10-15T00:07:04Z,63.0,Charge 6
2025-10-15T00:07:06Z,63.0,Charge 6
2025-10-15T00:07:08Z,64.0,Charge 6
2025-10-15T00:07:10Z,66.0,Charge 6
2025-10-15T00:07:13Z,66.0,Charge 6
2025-10-15T00:07:14Z,66.0,Charge 6
2025-10-15T00:07:17Z,66.0,Charge 6
2025-10-15T00:07:20Z,65.0,Charge 6
2025-10-15T00:07:22Z,64.0,Charge 6
2025-10-15T00:07:25Z,64.0,Charge 6
2025-10-15T00:07:28Z,64.0,Charge 6
2025-10-15T00:07:29Z,64.0,Charge 6
2025-10-15T00:07:32Z,64.0,Charge 6
2025-10-15T00:07:33Z,63.0,Charge 6
2025-10-15T00:07:35Z,64.0,Charge 6
2025-10-15T00:07:38Z,64.0,Charge 6
2025-10-15T00:07:41Z,64.0,Charge 6
2025-10-15T00:07:43Z,64.0,Charge 6
2025-10-15T00:07:46Z,64.0,Charge 6
2025-10-15T00:07:47Z,64.0,Charge 6
2025-10-15T00:07:50Z,64.0,Charge 6
2025-10-15T00:07:53Z,64.0,Charge 6
2025-10-15T00:07:56Z,63.0,Charge 6
2025-10-15T00:07:59Z,63.0,Charge 6
2025-10-15T00:08:02Z,64.0,Charge 6
2025-10-15T00:08:05Z,64.0,Charge 6
2025-10-15T00:08:08Z,63.0,Charge 6
2025-10-15T00:08:10Z,64.0,Charge 6
2025-10-15T00:08:13Z,64.0,Charge 6
2025-10-15T00:08:15Z,65.0,Charge 6
2025-10-15T00:08:18Z,65.0,Charge 6
2025-10-15T00:08:21Z,65.0,Charge 6
2025-10-15T00:08:24Z,65.0,Charge 6
2025-10-15T00:08:27Z,65.0,Charge 6
2025-10-15T00:08:30Z,65.0,Charge 6
2025-10-15T00:08:33Z,66.0,Charge 6
2025-10-15T00:08:36Z,65.0,Charge 6
2025-10-15T00:08:39Z,65.0,Charge 6
2025-10-15T00:08:42Z,65.0,Charge 6
2025-10-15T00:08:44Z,64.0,Charge 6
2025-10-15T00:08:47Z,64.0,Charge 6
2025-10-15T00:08:48Z,64.0,Charge 6
2025-10-15T00:08:51Z,64.0,Charge 6
2025-10-15T00:08:54Z,64.0,Charge 6
2025-10-15T00:08:56Z,64.0,Charge 6
2025-10-15T00:08:59Z,64.0,Charge 6
2025-10-15T00:09:01Z,64.0,Charge 6
2025-10-15T00:09:04Z,64.0,Charge 6
2025-10-15T00:09:07Z,64.0,Charge 6
2025-10-15T00:09:09Z,64.0,Charge 6
2025-10-15T00:09:12Z,64.0,Charge 6
2025-10-15T00:09:13Z,64.0,Charge 6
2025-10-15T00:09:16Z,64.0,Charge 6
2025-10-15T00:09:17Z,63.0,Charge 6
2025-10-15T00:09:20Z,63.0,Charge 6
2025-10-15T00:09:21Z,64.0,Charge 6
2025-10-15T00:09:23Z,64.0,Charge 6
2025-10-15T00:09:26Z,64.0,Charge 6
2025-10-15T00:09:29Z,64.0,Charge 6
2025-10-15T00:09:30Z,66.0,Charge 6
2025-10-15T00:09:33Z,66.0,Charge 6
2025-10-15T00:09:34Z,68.0,Charge 6
2025-10-15T00:09:36Z,69.0,Charge 6
2025-10-15T00:09:38Z,68.0,Charge 6
2025-10-15T00:09:40Z,67.0,Charge 6
2025-10-15T00:09:42Z,66.0,Charge 6
2025-10-15T00:09:45Z,66.0,Charge 6
2025-10-15T00:09:47Z,68.0,Charge 6
2025-10-15T00:09:49Z,67.0,Charge 6
2025-10-15T00:09:51Z,66.0,Charge 6
2025-10-15T00:09:53Z,67.0,Charge 6
2025-10-15T00:09:55Z,66.0,Charge 6
2025-10-15T00:09:58Z,66.0,Charge 6
2025-10-15T00:09:59Z,68.0,Charge 6
2025-10-15T00:10:01Z,67.0,Charge 6
2025-10-15T00:10:04Z,67.0,Charge 6
2025-10-15T00:10:05Z,66.0,Charge 6
2025-10-15T00:10:08Z,66.0,Charge 6
2025-10-15T00:10:11Z,66.0,Charge 6
2025-10-15T00:10:12Z,67.0,Charge 6
2025-10-15T00:10:14Z,67.0,Charge 6
2025-10-15T00:10:16Z,66.0,Charge 6
2025-10-15T00:10:19Z,66.0,Charge 6
2025-10-15T00:10:22Z,66.0,Charge 6
2025-10-15T00:10:24Z,68.0,Charge 6
2025-10-15T00:10:26Z,69.0,Charge 6
2025-10-15T00:10:29Z,69.0,Charge 6
2025-10-15T00:10:30Z,70.0,Charge 6
2025-10-15T00:10:33Z,70.0,Charge 6
2025-10-15T00:10:34Z,69.0,Charge 6
2025-10-15T00:10:35Z,67.0,Charge 6
2025-10-15T00:10:37Z,66.0,Charge 6
2025-10-15T00:10:39Z,66.0,Charge 6
2025-10-15T00:10:42Z,66.0,Charge 6
2025-10-15T00:10:43Z,66.0,Charge 6
2025-10-15T00:10:45Z,65.0,Charge 6
2025-10-15T00:10:47Z,64.0,Charge 6
2025-10-15T00:10:50Z,64.0,Charge 6
2025-10-15T00:10:51Z,65.0,Charge 6
2025-10-15T00:10:53Z,64.0,Charge 6
2025-10-15T00:10:56Z,64.0,Charge 6
2025-10-15T00:10:59Z,63.0,Charge 6
2025-10-15T00:11:00Z,64.0,Charge 6
2025-10-15T00:11:03Z,64.0,Charge 6
2025-10-15T00:11:04Z,66.0,Charge 6
2025-10-15T00:11:07Z,66.0,Charge 6
2025-10-15T00:11:10Z,66.0,Charge 6
2025-10-15T00:11:13Z,66.0,Charge 6
2025-10-15T00:11:16Z,64.0,Charge 6
2025-10-15T00:11:18Z,64.0,Charge 6
2025-10-15T00:11:20Z,66.0,Charge 6
2025-10-15T00:11:22Z,65.0,Charge 6
2025-10-15T00:11:23Z,66.0,Charge 6
2025-10-15T00:11:25Z,67.0,Charge 6
2025-10-15T00:11:27Z,69.0,Charge 6
2025-10-15T00:11:29Z,75.0,Charge 6
2025-10-15T00:11:31Z,76.0,Charge 6
2025-10-15T00:11:34Z,76.0,Charge 6
2025-10-15T00:11:35Z,76.0,Charge 6
2025-10-15T00:11:37Z,75.0,Charge 6
2025-10-15T00:11:39Z,73.0,Charge 6
2025-10-15T00:11:41Z,72.0,Charge 6
2025-10-15T00:11:43Z,71.0,Charge 6
2025-10-15T00:11:45Z,69.0,Charge 6
2025-10-15T00:11:47Z,69.0,Charge 6
2025-10-15T00:11:48Z,69.0,Charge 6
2025-10-15T00:11:50Z,70.0,Charge 6
2025-10-15T00:11:53Z,70.0,Charge 6
2025-10-15T00:11:56Z,68.0,Charge 6
2025-10-15T00:11:58Z,68.0,Charge 6
2025-10-15T00:12:00Z,70.0,Charge 6
2025-10-15T00:12:03Z,70.0,Charge 6
