timestamp,distance,data source
2025-08-13T22:58:00Z,29.52,Fitbit App
2025-08-13T22:59:00Z,22.14,Fitbit App
2025-08-13T23:15:00Z,6.50,Charge 6
2025-08-13T23:16:00Z,5.80,Charge 6
2025-08-13T23:17:00Z,4.30,Charge 6
2025-08-13T23:18:00Z,22.50,Charge 6
2025-08-13T23:19:00Z,6.50,Charge 6
2025-08-13T23:22:00Z,32.60,Charge 6
2025-08-13T23:24:00Z,15.90,Charge 6
2025-08-13T23:38:00Z,5.00,Charge 6
2025-08-13T23:55:00Z,3.60,Charge 6
2025-08-13T23:56:00Z,21.00,Charge 6
2025-08-13T23:57:00Z,17.40,Charge 6
2025-08-13T23:58:00Z,2.90,Charge 6
2025-08-14T00:01:00Z,8.00,Charge 6
2025-08-14T00:02:00Z,10.90,Charge 6
2025-08-14T00:03:00Z,6.50,Charge 6
2025-08-14T00:06:00Z,9.40,Charge 6
2025-08-14T00:17:00Z,14.50,Charge 6
2025-08-14T00:18:00Z,5.00,Charge 6
2025-08-14T00:19:00Z,7.20,Charge 6
2025-08-14T00:24:00Z,5.00,Charge 6
2025-08-14T00:26:00Z,21.70,Charge 6
2025-08-14T00:27:00Z,32.60,Charge 6
2025-08-14T00:28:00Z,17.40,Charge 6
2025-08-14T00:44:00Z,11.60,Charge 6
2025-08-14T01:27:00Z,6.50,Charge 6
2025-08-14T01:54:00Z,15.20,Charge 6
2025-08-14T01:55:00Z,31.20,Charge 6
2025-08-14T01:56:00Z,10.10,Charge 6
2025-08-14T02:00:00Z,21.00,Charge 6
2025-08-14T02:01:00Z,29.70,Charge 6
2025-08-14T02:03:00Z,26.10,Charge 6
2025-08-14T02:04:00Z,85.90,Charge 6
2025-08-14T02:05:00Z,217.10,Charge 6
2025-08-14T02:06:00Z,212.70,Charge 6
2025-08-14T02:07:00Z,218.80,Charge 6
2025-08-14T02:08:00Z,216.70,Charge 6
2025-08-14T02:09:00Z,221.30,Charge 6
2025-08-14T02:10:00Z,217.40,Charge 6
2025-08-14T02:11:00Z,214.50,Charge 6
2025-08-14T02:12:00Z,217.60,Charge 6
2025-08-14T02:13:00Z,212.40,Charge 6
2025-08-14T02:14:00Z,190.00,Charge 6
2025-08-14T02:15:00Z,220.00,Charge 6
2025-08-14T02:16:00Z,215.50,Charge 6
2025-08-14T02:17:00Z,219.90,Charge 6
2025-08-14T02:18:00Z,209.10,Charge 6
2025-08-14T02:19:00Z,214.50,Charge 6
2025-08-14T02:20:00Z,214.20,Charge 6
2025-08-14T02:21:00Z,215.40,Charge 6
2025-08-14T02:22:00Z,218.10,Charge 6
2025-08-14T02:23:00Z,215.30,Charge 6
2025-08-14T02:24:00Z,218.60,Charge 6
2025-08-14T02:25:00Z,214.30,Charge 6
2025-08-14T02:26:00Z,214.30,Charge 6
2025-08-14T02:27:00Z,217.40,Charge 6
2025-08-14T02:28:00Z,214.60,Charge 6
2025-08-14T02:29:00Z,212.00,Charge 6
2025-08-14T02:30:00Z,211.50,Charge 6
2025-08-14T02:31:00Z,212.30,Charge 6
2025-08-14T02:32:00Z,219.30,Charge 6
2025-08-14T02:33:00Z,215.30,Charge 6
2025-08-14T02:34:00Z,210.90,Charge 6
2025-08-14T02:35:00Z,212.80,Charge 6
2025-08-14T02:36:00Z,216.50,Charge 6
2025-08-14T02:37:00Z,218.60,Charge 6
2025-08-14T02:38:00Z,68.70,Charge 6
2025-08-14T02:39:00Z,36.30,Charge 6
2025-08-14T02:40:00Z,13.80,Charge 6
2025-08-14T02:46:00Z,5.80,Charge 6
2025-08-14T02:48:00Z,18.10,Charge 6
2025-08-14T02:49:00Z,31.90,Charge 6
2025-08-14T02:50:00Z,18.10,Charge 6
2025-08-14T02:51:00Z,28.30,Charge 6
2025-08-14T02:52:00Z,5.80,Charge 6
2025-08-14T02:54:00Z,34.80,Charge 6
2025-08-14T02:56:00Z,51.50,Charge 6
2025-08-14T02:57:00Z,208.50,Charge 6
2025-08-14T02:58:00Z,206.80,Charge 6
2025-08-14T02:59:00Z,211.10,Charge 6
2025-08-14T03:00:00Z,206.20,Charge 6
2025-08-14T03:01:00Z,211.50,Charge 6
2025-08-14T03:02:00Z,210.50,Charge 6
2025-08-14T03:03:00Z,207.60,Charge 6
2025-08-14T03:04:00Z,210.20,Charge 6
2025-08-14T03:05:00Z,206.20,Charge 6
2025-08-14T03:06:00Z,165.40,Charge 6
2025-08-14T03:07:00Z,201.00,Charge 6
2025-08-14T03:08:00Z,182.00,Charge 6
2025-08-14T03:09:00Z,9.00,Charge 6
2025-08-14T03:11:00Z,5.00,Charge 6
2025-08-14T03:13:00Z,2.90,Charge 6
2025-08-14T03:15:00Z,16.70,Charge 6
2025-08-14T03:16:00Z,18.80,Charge 6
2025-08-14T03:17:00Z,17.40,Charge 6
2025-08-14T03:18:00Z,29.70,Charge 6
2025-08-14T03:21:00Z,12.30,Charge 6
2025-08-14T03:23:00Z,4.30,Charge 6
2025-08-14T03:24:00Z,7.20,Charge 6
2025-08-14T03:26:00Z,14.50,Charge 6
2025-08-14T03:27:00Z,10.10,Charge 6
2025-08-14T03:29:00Z,11.60,Charge 6
2025-08-14T03:30:00Z,10.80,Charge 6
2025-08-14T03:32:00Z,13.00,Charge 6
2025-08-14T03:33:00Z,37.00,Charge 6
2025-08-14T03:34:00Z,20.30,Charge 6
2025-08-14T03:35:00Z,29.70,Charge 6
2025-08-14T03:36:00Z,5.00,Charge 6
2025-08-14T03:37:00Z,5.00,Charge 6
2025-08-14T03:44:00Z,12.30,Charge 6
2025-08-14T03:45:00Z,5.80,Charge 6
2025-08-14T03:49:00Z,7.20,Charge 6
2025-08-14T03:55:00Z,5.00,Charge 6
2025-08-14T04:05:00Z,4.30,Charge 6
2025-08-14T04:06:00Z,26.80,Charge 6
2025-08-14T04:22:00Z,5.80,Charge 6
2025-08-14T04:30:00Z,2.90,Charge 6
2025-08-14T04:41:00Z,10.10,Charge 6
2025-08-14T04:44:00Z,5.00,Charge 6
2025-08-14T04:52:00Z,2.90,Charge 6
2025-08-14T05:05:00Z,5.80,Charge 6
2025-08-14T05:06:00Z,5.00,Charge 6
2025-08-14T05:07:00Z,15.20,Charge 6
2025-08-14T05:09:00Z,12.30,Charge 6
2025-08-14T05:24:00Z,4.30,Charge 6
2025-08-14T06:01:00Z,7.20,Charge 6
2025-08-14T06:16:00Z,5.80,Charge 6
2025-08-14T06:19:00Z,9.40,Charge 6
2025-08-14T06:20:00Z,21.80,Charge 6
2025-08-14T06:21:00Z,5.00,Charge 6
2025-08-14T06:22:00Z,13.80,Charge 6
2025-08-14T06:23:00Z,36.30,Charge 6
2025-08-14T06:24:00Z,5.00,Charge 6
2025-08-14T06:25:00Z,10.10,Charge 6
2025-08-14T06:33:00Z,31.20,Charge 6
2025-08-14T06:50:00Z,6.50,Charge 6
2025-08-14T06:55:00Z,7.90,Charge 6
2025-08-14T06:58:00Z,4.30,Charge 6
2025-08-14T06:59:00Z,5.80,Charge 6
2025-08-14T07:04:00Z,29.70,Charge 6
2025-08-14T07:05:00Z,18.10,Charge 6
2025-08-14T07:06:00Z,3.60,Charge 6
2025-08-14T07:14:00Z,7.20,Charge 6
2025-08-14T07:44:00Z,5.00,Charge 6
2025-08-14T10:36:00Z,5.80,Charge 6
2025-08-14T10:54:00Z,6.50,Charge 6
2025-08-14T12:59:00Z,5.00,Charge 6
2025-08-14T15:20:00Z,5.00,Charge 6
2025-08-14T15:32:00Z,17.40,Charge 6
2025-08-14T15:33:00Z,13.80,Charge 6
2025-08-14T15:37:00Z,5.80,Charge 6
2025-08-14T15:39:00Z,37.00,Charge 6
2025-08-14T15:41:00Z,7.20,Charge 6
2025-08-14T15:44:00Z,7.90,Charge 6
2025-08-14T15:45:00Z,7.20,Charge 6
2025-08-14T15:46:00Z,5.80,Charge 6
2025-08-14T15:47:00Z,10.90,Charge 6
2025-08-14T15:48:00Z,7.20,Charge 6
2025-08-14T15:53:00Z,2.90,Charge 6
2025-08-14T16:14:00Z,15.20,Charge 6
2025-08-14T16:15:00Z,5.00,Charge 6
2025-08-14T16:18:00Z,18.10,Charge 6
2025-08-14T16:19:00Z,8.70,Charge 6
2025-08-14T16:20:00Z,7.90,Charge 6
2025-08-14T16:31:00Z,3.60,Charge 6
2025-08-14T16:43:00Z,14.50,Charge 6
2025-08-14T16:44:00Z,29.70,Charge 6
2025-08-14T18:13:00Z,5.00,Charge 6
2025-08-14T18:15:00Z,31.90,Charge 6
2025-08-14T18:19:00Z,5.80,Charge 6
2025-08-14T18:26:00Z,7.20,Charge 6
2025-08-14T18:36:00Z,17.40,Charge 6
2025-08-14T19:01:00Z,17.40,Charge 6
2025-08-14T19:02:00Z,13.80,Charge 6
2025-08-14T19:03:00Z,15.90,Charge 6
2025-08-14T19:04:00Z,40.60,Charge 6
2025-08-14T19:05:00Z,56.60,Charge 6
2025-08-14T19:06:00Z,47.20,Charge 6
2025-08-14T19:07:00Z,77.70,Charge 6
2025-08-14T19:08:00Z,66.10,Charge 6
2025-08-14T19:09:00Z,74.80,Charge 6
2025-08-14T19:10:00Z,85.00,Charge 6
2025-08-14T19:11:00Z,75.50,Charge 6
2025-08-14T19:12:00Z,71.20,Charge 6
2025-08-14T19:13:00Z,53.70,Charge 6
2025-08-14T19:14:00Z,61.00,Charge 6
2025-08-14T19:15:00Z,57.30,Charge 6
2025-08-14T19:16:00Z,47.20,Charge 6
2025-08-14T19:17:00Z,76.20,Charge 6
2025-08-14T19:18:00Z,69.10,Charge 6
2025-08-14T19:19:00Z,53.90,Charge 6
2025-08-14T19:20:00Z,17.10,Charge 6
2025-08-14T19:21:00Z,53.60,Charge 6
2025-08-14T19:22:00Z,31.70,Charge 6
2025-08-14T19:29:00Z,5.00,Charge 6
2025-08-14T20:00:00Z,5.80,Charge 6
2025-08-14T20:07:00Z,5.00,Charge 6
2025-08-14T20:16:00Z,7.90,Charge 6
2025-08-14T20:46:00Z,3.60,Charge 6
2025-08-14T20:57:00Z,2.90,Charge 6
2025-08-14T20:58:00Z,12.30,Charge 6
2025-08-14T20:59:00Z,47.90,Charge 6
2025-08-14T21:00:00Z,48.60,Charge 6
2025-08-14T21:01:00Z,84.20,Charge 6
2025-08-14T21:02:00Z,34.40,Charge 6
2025-08-14T21:03:00Z,9.70,Charge 6
2025-08-14T21:04:00Z,15.90,Charge 6
2025-08-14T21:05:00Z,20.80,Charge 6
2025-08-14T22:00:00Z,16.70,Charge 6
2025-08-14T22:01:00Z,5.00,Charge 6
2025-08-14T22:02:00Z,35.60,Charge 6
2025-08-14T22:03:00Z,3.60,Charge 6
2025-08-14T22:04:00Z,58.10,Charge 6
2025-08-14T22:05:00Z,65.30,Charge 6
2025-08-14T22:06:00Z,66.10,Charge 6
2025-08-14T22:07:00Z,65.30,Charge 6
2025-08-14T22:08:00Z,18.10,Charge 6
2025-08-14T22:09:00Z,19.60,Charge 6
2025-08-14T22:10:00Z,6.50,Charge 6
2025-08-14T22:12:00Z,4.30,Charge 6
2025-08-14T22:13:00Z,5.00,Charge 6
2025-08-14T22:17:00Z,5.80,Charge 6
2025-08-14T22:18:00Z,0.70,Charge 6
2025-08-14T22:20:00Z,4.30,Charge 6
2025-08-14T22:23:00Z,7.20,Charge 6
2025-08-14T22:29:00Z,5.00,Charge 6
2025-08-14T22:31:00Z,5.00,Charge 6
2025-08-14T22:39:00Z,5.80,Charge 6
2025-08-14T22:58:00Z,4.30,Charge 6
2025-08-14T23:08:00Z,2.90,Charge 6
2025-08-14T23:18:00Z,13.80,Charge 6
2025-08-14T23:19:00Z,6.50,Charge 6
2025-08-14T23:25:00Z,21.00,Charge 6
2025-08-14T23:26:00Z,13.80,Charge 6
2025-08-14T23:27:00Z,12.30,Charge 6
2025-08-14T23:31:00Z,7.90,Charge 6
2025-08-14T23:32:00Z,5.00,Charge 6
2025-08-14T23:34:00Z,5.80,Charge 6
2025-08-14T23:35:00Z,3.60,Charge 6
2025-08-15T00:03:00Z,4.30,Charge 6
2025-08-15T01:36:00Z,12.30,Charge 6
2025-08-15T01:37:00Z,3.60,Charge 6
2025-08-15T01:51:00Z,5.80,Charge 6
2025-08-15T01:52:00Z,6.50,Charge 6
2025-08-15T01:53:00Z,10.10,Charge 6
2025-08-15T01:54:00Z,12.30,Charge 6
2025-08-15T01:55:00Z,26.80,Charge 6
2025-08-15T01:56:00Z,13.80,Charge 6
2025-08-15T01:58:00Z,45.00,Charge 6
2025-08-15T02:00:00Z,15.20,Charge 6
2025-08-15T02:01:00Z,15.90,Charge 6
2025-08-15T02:02:00Z,44.30,Charge 6
2025-08-15T02:03:00Z,32.60,Charge 6
2025-08-15T02:04:00Z,12.30,Charge 6
2025-08-15T02:05:00Z,79.90,Charge 6
2025-08-15T02:06:00Z,47.20,Charge 6
2025-08-15T02:07:00Z,52.30,Charge 6
2025-08-15T02:08:00Z,42.10,Charge 6
2025-08-15T02:09:00Z,45.00,Charge 6
2025-08-15T02:10:00Z,33.40,Charge 6
2025-08-15T02:11:00Z,5.00,Charge 6
2025-08-15T02:12:00Z,11.60,Charge 6
2025-08-15T02:14:00Z,22.50,Charge 6
2025-08-15T02:15:00Z,50.10,Charge 6
2025-08-15T02:16:00Z,41.40,Charge 6
2025-08-15T02:17:00Z,23.90,Charge 6
2025-08-15T02:18:00Z,38.50,Charge 6
2025-08-15T02:19:00Z,62.40,Charge 6
2025-08-15T02:20:00Z,87.10,Charge 6
2025-08-15T02:21:00Z,70.40,Charge 6
2025-08-15T02:22:00Z,74.10,Charge 6
2025-08-15T02:23:00Z,78.40,Charge 6
2025-08-15T02:24:00Z,89.70,Charge 6
2025-08-15T02:25:00Z,71.60,Charge 6
2025-08-15T02:26:00Z,30.60,Charge 6
2025-08-15T02:27:00Z,20.50,Charge 6
2025-08-15T02:28:00Z,58.80,Charge 6
2025-08-15T02:29:00Z,52.10,Charge 6
2025-08-15T02:30:00Z,30.00,Charge 6
2025-08-15T02:31:00Z,54.30,Charge 6
2025-08-15T02:32:00Z,81.00,Charge 6
2025-08-15T02:33:00Z,103.50,Charge 6
2025-08-15T02:34:00Z,69.30,Charge 6
2025-08-15T02:35:00Z,22.40,Charge 6
2025-08-15T02:36:00Z,78.30,Charge 6
2025-08-15T02:37:00Z,80.90,Charge 6
2025-08-15T02:38:00Z,159.10,Charge 6
2025-08-15T02:39:00Z,66.80,Charge 6
2025-08-15T02:40:00Z,22.40,Charge 6
2025-08-15T02:41:00Z,53.60,Charge 6
2025-08-15T02:42:00Z,61.20,Charge 6
2025-08-15T02:43:00Z,100.00,Charge 6
2025-08-15T02:44:00Z,69.80,Charge 6
